Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Years Since,State,Winner
5762,513,39.2,58558,24235.0,50,9.746588694,7,VT,Republican
5763,2715,43.9,54968,29674.0,488,17.97421731,7,VT,Republican
5764,3370,41.3,44468,22651.0,323,9.584569733,7,VT,Republican
5765,1632,46.7,56771,30786.0,85,5.208333333,7,VT,Republican
5766,598,45.9,52250,33227.0,76,12.7090301,7,VT,Republican
5767,1053,50.2,46193,30351.0,97,9.211775878,7,VT,Republican
5769,1192,45.2,57500,26407.0,88,7.382550336,7,VT,Republican
5770,1038,49.6,71667,34765.0,89,8.574181118,7,VT,Republican
5772,656,50.0,54271,33247.0,76,11.58536585,7,VT,Republican
5773,2281,47.8,51942,29896.0,209,9.162647961,7,VT,Republican
5774,1012,53.7,49375,30679.0,86,8.498023715,7,VT,Republican
5775,495,42.2,34659,19602.0,128,25.85858586,7,VT,Republican
5776,630,54.7,57981,32876.0,24,3.80952381,7,VT,Republican
5777,3357,46.1,58214,27476.0,322,9.591897528,7,VT,Republican
5778,721,43.9,51029,26094.0,93,12.89875173,7,VT,Republican
5819,9655,45.3,46166,25208.0,1015,10.51268773,7,VT,Republican
5820,544,48.8,37386,23091.0,74,13.60294118,7,VT,Republican
5821,1081,53.2,61522,31981.0,65,6.012950971,7,VT,Republican
5822,1615,52.6,36667,23861.0,280,17.3374613,7,VT,Republican
5824,1190,44.2,47188,23252.0,113,9.495798319,7,VT,Republican
5825,134,40.5,62083,28772.0,9,6.71641791,7,VT,Republican
5826,886,42.2,56458,27294.0,42,4.740406321,7,VT,Republican
5827,357,43.5,47500,20092.0,51,14.28571429,7,VT,Republican
5828,1893,50.4,55000,32827.0,156,8.24088748,7,VT,Republican
5829,1754,51.6,39402,24194.0,228,12.99885975,7,VT,Republican
5830,1515,46.6,50948,29429.0,182,12.01320132,7,VT,Republican
5832,835,44.7,59107,27765.0,38,4.550898204,7,VT,Republican
5833,269,44.3,56750,20907.0,41,15.24163569,7,VT,Republican
5836,1193,43.1,54896,25332.0,165,13.83067896,7,VT,Republican
5837,372,50.5,42308,21393.0,45,12.09677419,7,VT,Republican
5839,705,53.2,44659,24261.0,113,16.02836879,7,VT,Republican
5841,389,62.7,63839,42543.0,24,6.16966581,7,VT,Republican
5842,486,42.2,45313,22640.0,95,19.5473251,7,VT,Republican
5843,2480,46.2,41853,24179.0,232,9.35483871,7,VT,Republican
5845,1170,43.8,38611,19616.0,154,13.16239316,7,VT,Republican
5846,996,45.1,35109,19403.0,217,21.78714859,7,VT,Republican
5847,905,40.3,57727,22983.0,78,8.61878453,7,VT,Republican
5850,218,42.1,-666666666,23710.0,108,49.5412844,7,VT,Republican
5851,6635,36.1,40629,21827.0,1165,17.55840241,7,VT,Republican
5853,530,58.6,37188,32604.0,78,14.71698113,7,VT,Republican
5855,7209,40.7,41364,23283.0,1171,16.24358441,7,VT,Republican
5857,1988,48.5,55568,25268.0,226,11.36820926,7,VT,Republican
5858,397,50.1,48500,26723.0,48,12.0906801,7,VT,Republican
5859,1911,38.7,41786,20622.0,257,13.44845631,7,VT,Republican
5860,2677,39.4,45000,20025.0,494,18.45349272,7,VT,Republican
5862,352,45.5,49286,24884.0,34,9.659090909,7,VT,Republican
5866,657,43.7,44464,24000.0,76,11.56773212,7,VT,Republican
5867,836,44.1,49583,23223.0,94,11.24401914,7,VT,Republican
5868,351,47.1,39327,25497.0,51,14.52991453,7,VT,Republican
5871,1403,44.4,47644,22489.0,230,16.39344262,7,VT,Republican
5872,824,50.3,38594,25406.0,84,10.19417476,7,VT,Republican
5873,740,46.1,56250,27602.0,29,3.918918919,7,VT,Republican
5874,492,45.1,52614,29896.0,44,8.943089431,7,VT,Republican
5875,559,47.0,58611,35926.0,80,14.31127013,7,VT,Republican
5901,19,67.8,45625,22705.0,2,10.52631579,7,VT,Republican
5902,232,54.0,30938,18400.0,50,21.55172414,7,VT,Republican
5903,990,45.5,46071,22365.0,173,17.47474747,7,VT,Republican
5904,188,51.2,20515,16172.0,60,31.91489362,7,VT,Republican
5905,726,57.1,40625,29294.0,62,8.539944904,7,VT,Republican
5906,1259,48.8,40673,19862.0,145,11.51707705,7,VT,Republican
5907,143,54.8,47857,25534.0,12,8.391608392,7,VT,Republican
6001,18617,45.9,122666,67261.0,479,2.572917226,7,CT,Republican
6002,20687,49.4,74107,40162.0,1347,6.511335621,7,CT,Republican
6010,60437,41.2,61551,32374.0,6144,10.16595794,7,CT,Republican
6013,9540,44.0,117069,49997.0,159,1.666666667,7,CT,Republican
6016,6732,38.6,83300,37720.0,470,6.981580511,7,CT,Republican
6018,2689,42.4,73409,31935.0,124,4.611379695,7,CT,Republican
6019,10289,46.9,87394,49022.0,300,2.915735251,7,CT,Republican
6021,400,41.1,66071,28319.0,14,3.5,7,CT,Republican
6022,30,28.1,-666666666,75267.0,0,0.0,7,CT,Republican
6023,1278,36.6,89044,37334.0,64,5.007824726,7,CT,Republican
6024,587,55.0,82396,38304.0,33,5.621805792,7,CT,Republican
6026,5194,44.5,89449,40122.0,109,2.098575279,7,CT,Republican
6027,1456,50.9,81563,37919.0,81,5.563186813,7,CT,Republican
6029,15733,42.1,79559,42793.0,508,3.228881968,7,CT,Republican
6031,1384,51.5,85878,59695.0,52,3.757225434,7,CT,Republican
6032,17623,43.8,97803,58109.0,1121,6.361005504,7,CT,Republican
6033,28659,44.9,102339,55326.0,1050,3.663770543,7,CT,Republican
6035,7956,47.7,99359,50153.0,236,2.966314731,7,CT,Republican
6037,19251,47.2,96550,43948.0,626,3.251779128,7,CT,Republican
6039,1784,50.3,71442,55128.0,66,3.69955157,7,CT,Republican
6040,35616,34.8,61193,31028.0,5313,14.91745283,7,CT,Republican
6042,22457,35.6,73054,35917.0,1619,7.209333393,7,CT,Republican
6043,4950,46.9,91087,49577.0,156,3.151515152,7,CT,Republican
6051,30138,32.3,30955,17160.0,9279,30.78837348,7,CT,Republican
6052,8231,38.4,63317,32223.0,801,9.731502855,7,CT,Republican
6053,34531,34.4,48942,23963.0,5971,17.2917089,7,CT,Republican
6057,6241,44.4,96633,40663.0,90,1.44207659,7,CT,Republican
6058,1535,54.3,74946,46748.0,73,4.755700326,7,CT,Republican
6060,2326,41.3,131558,45956.0,38,1.633705933,7,CT,Republican
6061,98,42.7,-666666666,28130.0,0,0.0,7,CT,Republican
6062,17772,41.4,61907,32839.0,1381,7.770650461,7,CT,Republican
6063,3124,45.0,106957,41935.0,63,2.016645327,7,CT,Republican
6065,802,49.1,95139,39458.0,67,8.354114713,7,CT,Republican
6066,29206,39.5,61190,35125.0,2629,9.001575019,7,CT,Republican
6067,19920,43.8,81988,43921.0,1422,7.138554217,7,CT,Republican
6068,1682,57.1,71154,40984.0,125,7.431629013,7,CT,Republican
6069,2444,59.0,82500,64944.0,249,10.18821604,7,CT,Republican
6070,14996,46.1,110995,54063.0,645,4.301146973,7,CT,Republican
6071,11533,44.4,94897,34983.0,399,3.459637562,7,CT,Republican
6073,5975,45.6,153519,72238.0,239,4.0,7,CT,Republican
6074,25793,43.6,100122,46758.0,761,2.950412903,7,CT,Republican
6076,12620,41.7,66176,32366.0,1313,10.40412044,7,CT,Republican
6078,12370,41.4,97434,41488.0,756,6.111560226,7,CT,Republican
6081,1339,40.3,71528,39478.0,89,6.646751307,7,CT,Republican
6082,44515,41.0,71526,31387.0,3347,7.518813883,7,CT,Republican
6084,14985,42.3,109157,46447.0,371,2.475809142,7,CT,Republican
6085,7551,42.5,94565,43755.0,415,5.4959608,7,CT,Republican
6088,4661,46.9,67801,33464.0,103,2.209826218,7,CT,Republican
6089,3514,39.2,98594,51058.0,54,1.536710302,7,CT,Republican
6090,1077,49.9,143083,57746.0,65,6.035283194,7,CT,Republican
6091,152,32.6,-666666666,29626.0,0,0.0,7,CT,Republican
6092,4166,47.0,139464,61944.0,34,0.816130581,7,CT,Republican
6093,3248,45.4,107963,44932.0,36,1.108374384,7,CT,Republican
6095,29166,42.8,82464,37102.0,1653,5.667558116,7,CT,Republican
6096,12537,44.6,66494,36587.0,807,6.436946638,7,CT,Republican
6098,12666,46.3,61113,30479.0,1736,13.70598453,7,CT,Republican
6103,1490,33.8,83048,69842.0,151,10.13422819,7,CT,Republican
6105,19165,34.3,31920,27883.0,5119,26.71014871,7,CT,Republican
6106,38010,30.2,28529,16532.0,13128,34.5382794,7,CT,Republican
6107,18855,44.2,117038,59369.0,871,4.619464333,7,CT,Republican
6108,25272,35.3,46902,22596.0,4407,17.4382716,7,CT,Republican
6109,26396,45.0,78371,39368.0,1338,5.068949841,7,CT,Republican
6110,12110,39.8,64300,34226.0,1440,11.89099917,7,CT,Republican
6111,30590,44.5,80315,38255.0,1297,4.239947695,7,CT,Republican
6112,22891,29.4,36145,17151.0,5673,24.78266568,7,CT,Republican
6114,28131,30.0,34410,17231.0,8129,28.89694643,7,CT,Republican
6117,16788,42.3,118773,58737.0,842,5.015487253,7,CT,Republican
6118,25605,40.8,52729,27992.0,2767,10.80648311,7,CT,Republican
6119,15921,37.1,80884,45213.0,1483,9.314741536,7,CT,Republican
6120,14120,28.6,24080,11639.0,5324,37.70538244,7,CT,Republican
6226,19667,26.6,32849,15661.0,5244,26.66395485,7,CT,Republican
6231,3772,44.2,113922,43805.0,92,2.43902439,7,CT,Republican
6232,3211,45.3,100724,41514.0,17,0.529430084,7,CT,Republican
6234,8304,43.1,74327,28951.0,860,10.35645472,7,CT,Republican
6235,2265,45.1,88031,33790.0,136,6.004415011,7,CT,Republican
6237,5456,48.9,92981,40835.0,160,2.93255132,7,CT,Republican
6238,12446,44.0,88967,41516.0,393,3.157641009,7,CT,Republican
6239,10868,41.5,52530,27155.0,1425,13.11188811,7,CT,Republican
6241,6830,40.5,70489,31469.0,535,7.833089312,7,CT,Republican
6242,1374,42.7,80469,35563.0,40,2.911208151,7,CT,Republican
6247,2772,46.5,74436,33397.0,97,3.499278499,7,CT,Republican
6248,5808,43.1,108529,45895.0,95,1.635674931,7,CT,Republican
6249,7259,45.0,88125,37369.0,416,5.730816917,7,CT,Republican
6250,4851,39.5,81860,39534.0,257,5.297876726,7,CT,Republican
6254,1965,48.6,93438,41253.0,118,6.005089059,7,CT,Republican
6255,4619,41.0,62398,28532.0,376,8.140290106,7,CT,Republican
6256,2445,41.1,54057,24737.0,276,11.28834356,7,CT,Republican
6259,4394,43.8,87244,42517.0,162,3.686845699,7,CT,Republican
6260,9382,43.0,52449,27722.0,901,9.603496056,7,CT,Republican
6262,750,52.0,57889,31738.0,64,8.533333333,7,CT,Republican
6263,278,29.5,43427,23996.0,25,8.992805755,7,CT,Republican
6264,77,66.9,84063,30444.0,0,0.0,7,CT,Republican
6266,355,27.0,56420,27642.0,22,6.197183099,7,CT,Republican
6268,10800,22.2,51398,27488.0,1763,16.32407407,7,CT,Republican
6269,10113,20.0,-666666666,3468.0,0,0.0,7,CT,Republican
6277,3911,45.9,76867,37582.0,253,6.468933777,7,CT,Republican
6278,4405,44.2,77619,36014.0,388,8.808172531,7,CT,Republican
6279,5927,37.0,72237,39056.0,901,15.20161971,7,CT,Republican
6280,3122,49.9,62542,33691.0,131,4.196028187,7,CT,Republican
6281,6827,47.5,91582,39748.0,158,2.31434012,7,CT,Republican
6282,1117,48.1,50288,28310.0,80,7.162041182,7,CT,Republican
6320,27270,30.6,35400,21625.0,6571,24.09607627,7,CT,Republican
6330,3261,41.5,67083,31261.0,248,7.605029132,7,CT,Republican
6331,5078,43.3,81496,31856.0,253,4.982276487,7,CT,Republican
6332,417,33.2,-666666666,35603.0,0,0.0,7,CT,Republican
6333,6906,44.7,112500,46287.0,224,3.243556328,7,CT,Republican
6334,2538,48.1,84138,36836.0,109,4.294720252,7,CT,Republican
6335,6722,43.9,91152,42483.0,282,4.195180006,7,CT,Republican
6336,85,34.1,-666666666,38958.0,0,0.0,7,CT,Republican
6339,8222,40.3,80725,39415.0,304,3.697397227,7,CT,Republican
6340,31467,30.9,60649,32228.0,2683,8.526392729,7,CT,Republican
6350,59,60.6,72604,53541.0,0,0.0,7,CT,Republican
6351,16171,38.3,65904,32059.0,1351,8.354461691,7,CT,Republican
6354,6333,43.1,60344,27835.0,632,9.979472604,7,CT,Republican
