Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
5762,513,39.2,58558,24235,50,9.746588694,2016
5763,2715,43.9,54968,29674,488,17.97421731,2016
5764,3370,41.3,44468,22651,323,9.584569733,2016
5765,1632,46.7,56771,30786,85,5.208333333,2016
5766,598,45.9,52250,33227,76,12.7090301,2016
5767,1053,50.2,46193,30351,97,9.211775878,2016
5769,1192,45.2,57500,26407,88,7.382550336,2016
5770,1038,49.6,71667,34765,89,8.574181118,2016
5772,656,50,54271,33247,76,11.58536585,2016
5773,2281,47.8,51942,29896,209,9.162647961,2016
5774,1012,53.7,49375,30679,86,8.498023715,2016
5775,495,42.2,34659,19602,128,25.85858586,2016
5776,630,54.7,57981,32876,24,3.80952381,2016
5777,3357,46.1,58214,27476,322,9.591897528,2016
5778,721,43.9,51029,26094,93,12.89875173,2016
5819,9655,45.3,46166,25208,1015,10.51268773,2016
5820,544,48.8,37386,23091,74,13.60294118,2016
5821,1081,53.2,61522,31981,65,6.012950971,2016
5822,1615,52.6,36667,23861,280,17.3374613,2016
5824,1190,44.2,47188,23252,113,9.495798319,2016
5825,134,40.5,62083,28772,9,6.71641791,2016
5826,886,42.2,56458,27294,42,4.740406321,2016
5827,357,43.5,47500,20092,51,14.28571429,2016
5828,1893,50.4,55000,32827,156,8.24088748,2016
5829,1754,51.6,39402,24194,228,12.99885975,2016
5830,1515,46.6,50948,29429,182,12.01320132,2016
5832,835,44.7,59107,27765,38,4.550898204,2016
5833,269,44.3,56750,20907,41,15.24163569,2016
5836,1193,43.1,54896,25332,165,13.83067896,2016
5837,372,50.5,42308,21393,45,12.09677419,2016
5839,705,53.2,44659,24261,113,16.02836879,2016
5841,389,62.7,63839,42543,24,6.16966581,2016
5842,486,42.2,45313,22640,95,19.5473251,2016
5843,2480,46.2,41853,24179,232,9.35483871,2016
5845,1170,43.8,38611,19616,154,13.16239316,2016
5846,996,45.1,35109,19403,217,21.78714859,2016
5847,905,40.3,57727,22983,78,8.61878453,2016
5850,218,42.1,-666666666,23710,108,49.5412844,2016
5851,6635,36.1,40629,21827,1165,17.55840241,2016
5853,530,58.6,37188,32604,78,14.71698113,2016
5855,7209,40.7,41364,23283,1171,16.24358441,2016
5857,1988,48.5,55568,25268,226,11.36820926,2016
5858,397,50.1,48500,26723,48,12.0906801,2016
5859,1911,38.7,41786,20622,257,13.44845631,2016
5860,2677,39.4,45000,20025,494,18.45349272,2016
