,year,state,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,winner
0,2012,ALABAMA,AUTAUGA,54590.0,37.0,53773.0,25253.0,11.480124564938633,REPUBLICAN
1,2012,ALABAMA,BALDWIN,183226.0,41.2,50706.0,26769.0,13.099669260912753,REPUBLICAN
2,2012,ALABAMA,BARBOUR,27469.0,38.2,31889.0,16532.0,23.280789253340128,DEMOCRAT
3,2012,ALABAMA,BIBB,22769.0,39.4,36824.0,17611.0,15.784619438710527,REPUBLICAN
4,2012,ALABAMA,BLOUNT,57466.0,39.1,45192.0,21155.0,14.610378310653255,REPUBLICAN
5,2012,ALABAMA,BULLOCK,10779.0,40.7,34500.0,19822.0,21.20790425827999,DEMOCRAT
6,2012,ALABAMA,BUTLER,20730.0,40.3,30752.0,17564.0,25.354558610709116,REPUBLICAN
7,2012,ALABAMA,CALHOUN,117834.0,38.7,40093.0,20881.0,20.874280767859872,REPUBLICAN
8,2012,ALABAMA,CHAMBERS,34228.0,41.4,32181.0,18478.0,22.972420240738575,REPUBLICAN
9,2012,ALABAMA,CHEROKEE,25917.0,44.3,36241.0,22472.0,19.122583632364858,REPUBLICAN
10,2012,ALABAMA,CHILTON,43611.0,37.6,40834.0,21132.0,18.389855770333174,REPUBLICAN
11,2012,ALABAMA,CHOCTAW,13838.0,44.0,35123.0,19354.0,19.930625812978754,REPUBLICAN
12,2012,ALABAMA,CLARKE,25768.0,39.9,30954.0,19563.0,26.144830797888854,REPUBLICAN
13,2012,ALABAMA,CLAY,13828.0,41.7,34556.0,18136.0,19.380966155626265,REPUBLICAN
14,2012,ALABAMA,CLEBURNE,14905.0,41.2,37244.0,19049.0,17.779268701777927,REPUBLICAN
15,2012,ALABAMA,COFFEE,49966.0,37.8,44626.0,23441.0,16.887483488772364,REPUBLICAN
16,2012,ALABAMA,COLBERT,54451.0,41.7,40158.0,22186.0,16.041945969770985,REPUBLICAN
17,2012,ALABAMA,CONECUH,13188.0,43.3,27064.0,16648.0,30.194115862905672,DEMOCRAT
18,2012,ALABAMA,COOSA,11305.0,44.4,37425.0,18855.0,19.66386554621849,REPUBLICAN
19,2012,ALABAMA,COVINGTON,37803.0,42.5,35321.0,20153.0,20.580377218739255,REPUBLICAN
20,2012,ALABAMA,CRENSHAW,13971.0,40.3,37309.0,21480.0,18.209147519862572,REPUBLICAN
21,2012,ALABAMA,CULLMAN,80403.0,40.1,39244.0,20653.0,18.311505789584967,REPUBLICAN
22,2012,ALABAMA,DALE,50129.0,36.0,45247.0,22707.0,15.456123202138484,REPUBLICAN
23,2012,ALABAMA,DALLAS,43572.0,37.3,26178.0,16907.0,36.10805104195355,DEMOCRAT
24,2012,ALABAMA,DEKALB,70949.0,37.9,36853.0,18494.0,19.31105441937166,REPUBLICAN
25,2012,ALABAMA,ELMORE,79330.0,37.7,55514.0,24007.0,12.02445480902559,REPUBLICAN
26,2012,ALABAMA,ESCAMBIA,38122.0,38.7,31075.0,16294.0,23.21231834636168,REPUBLICAN
27,2012,ALABAMA,ETOWAH,104317.0,40.2,37660.0,20672.0,18.41694067122329,REPUBLICAN
28,2012,ALABAMA,FAYETTE,17219.0,43.1,33090.0,18675.0,18.769963412509437,REPUBLICAN
29,2012,ALABAMA,FRANKLIN,31664.0,38.3,37235.0,19282.0,19.542698332491156,REPUBLICAN
30,2012,ALABAMA,GENEVA,26769.0,42.2,33618.0,19393.0,19.67200866674138,REPUBLICAN
31,2012,ALABAMA,GREENE,9067.0,41.4,23777.0,15062.0,32.734090658431676,DEMOCRAT
32,2012,ALABAMA,HALE,15750.0,40.4,29409.0,17210.0,27.155555555555555,DEMOCRAT
33,2012,ALABAMA,HENRY,17275.0,42.9,40680.0,20897.0,15.785817655571636,REPUBLICAN
34,2012,ALABAMA,HOUSTON,101459.0,38.3,41828.0,23375.0,17.46813983973822,REPUBLICAN
35,2012,ALABAMA,JACKSON,53279.0,41.4,37059.0,20101.0,16.015690985191164,REPUBLICAN
36,2012,ALABAMA,JEFFERSON,658464.0,37.0,45415.0,26760.0,16.695673567575447,DEMOCRAT
37,2012,ALABAMA,LAMAR,14513.0,42.6,35271.0,21410.0,19.864948666712603,REPUBLICAN
38,2012,ALABAMA,LAUDERDALE,92528.0,40.4,40701.0,22833.0,17.560089918727304,REPUBLICAN
39,2012,ALABAMA,LAWRENCE,34148.0,41.0,39526.0,20315.0,16.009722384912735,REPUBLICAN
40,2012,ALABAMA,LEE,140938.0,29.6,43189.0,23162.0,20.267067788673035,REPUBLICAN
41,2012,ALABAMA,LIMESTONE,83313.0,38.7,48197.0,24872.0,12.677493308367241,REPUBLICAN
42,2012,ALABAMA,LOWNDES,11304.0,40.7,28023.0,17895.0,23.381104033970274,DEMOCRAT
