Name,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,county_name,state,year
"Wright County, Missouri",229,18378.0,41.9,30581.0,18502.0,4560.0,24.812275546849495,WRIGHT,MISSOURI,2016
"Clay County, Missouri",047,233135.0,36.8,63702.0,30531.0,20867.0,8.950608016814293,CLAY,MISSOURI,2016
"Dent County, Missouri",065,15578.0,43.1,38020.0,19929.0,3426.0,21.99255360123251,DENT,MISSOURI,2016
"Saline County, Missouri",195,23214.0,37.4,40645.0,20446.0,3748.0,16.14542948220901,SALINE,MISSOURI,2016
"Worth County, Missouri",227,2061.0,47.9,44974.0,23292.0,262.0,12.712275594371665,WORTH,MISSOURI,2016
"Grundy County, Missouri",079,10231.0,40.8,40187.0,20746.0,1975.0,19.304075847913204,GRUNDY,MISSOURI,2016
"Morgan County, Missouri",141,20182.0,46.3,32807.0,19555.0,4798.0,23.773659696759488,MORGAN,MISSOURI,2016
"Reynolds County, Missouri",179,6530.0,46.8,36736.0,20792.0,1245.0,19.06584992343032,REYNOLDS,MISSOURI,2016
"St. Louis County, Missouri",189,1000560.0,40.3,61103.0,36518.0,100613.0,10.055668825457744,ST. LOUIS,MISSOURI,2016
"Stone County, Missouri",209,31197.0,52.1,41944.0,23705.0,4139.0,13.26730134307786,STONE,MISSOURI,2016
"Barry County, Missouri",009,35716.0,43.3,37869.0,19431.0,7876.0,22.051741516407212,BARRY,MISSOURI,2016
"Boone County, Missouri",019,172773.0,30.3,50813.0,27689.0,31461.0,18.209442447604662,BOONE,MISSOURI,2016
"Cole County, Missouri",051,76603.0,37.9,54130.0,26557.0,9067.0,11.836351056747125,COLE,MISSOURI,2016
"Crawford County, Missouri",055,24545.0,41.6,36983.0,20373.0,5166.0,21.04705642697087,CRAWFORD,MISSOURI,2016
"Iron County, Missouri",093,10220.0,44.1,36354.0,19270.0,2124.0,20.782778864970645,IRON,MISSOURI,2016
"Livingston County, Missouri",117,15057.0,41.5,44266.0,22804.0,2463.0,16.357840207212593,LIVINGSTON,MISSOURI,2016
"Moniteau County, Missouri",135,15840.0,38.0,48974.0,21068.0,1779.0,11.231060606060606,MONITEAU,MISSOURI,2016
"Pemiscot County, Missouri",155,17599.0,37.8,31671.0,17681.0,5036.0,28.61526223080857,PEMISCOT,MISSOURI,2016
"Pettis County, Missouri",159,42193.0,37.5,40467.0,20643.0,7000.0,16.590429692129025,PETTIS,MISSOURI,2016
"Shannon County, Missouri",203,8256.0,44.8,32284.0,19290.0,1831.0,22.17781007751938,SHANNON,MISSOURI,2016
"Randolph County, Missouri",175,25081.0,39.0,40638.0,18615.0,4025.0,16.048004465531676,RANDOLPH,MISSOURI,2016
"Dunklin County, Missouri",069,31271.0,39.6,31220.0,18203.0,8355.0,26.718045473441848,DUNKLIN,MISSOURI,2016
"Franklin County, Missouri",071,102063.0,40.6,50895.0,26272.0,12057.0,11.813291790364774,FRANKLIN,MISSOURI,2016
"Howard County, Missouri",089,10148.0,38.9,45762.0,22192.0,1719.0,16.939298383918015,HOWARD,MISSOURI,2016
"Jackson County, Missouri",095,683643.0,36.5,48104.0,27665.0,115709.0,16.925354315044547,JACKSON,MISSOURI,2016
"Miller County, Missouri",131,25011.0,41.4,40057.0,22397.0,4763.0,19.043620806844988,MILLER,MISSOURI,2016
"Putnam County, Missouri",171,4877.0,46.8,38125.0,20636.0,900.0,18.453967603034652,PUTNAM,MISSOURI,2016
"Taney County, Missouri",213,53853.0,41.7,38040.0,20929.0,9264.0,17.20238426828589,TANEY,MISSOURI,2016
"Buchanan County, Missouri",021,89415.0,36.9,46680.0,23189.0,15652.0,17.504892915058996,BUCHANAN,MISSOURI,2016
"Caldwell County, Missouri",025,9057.0,42.8,44722.0,23273.0,1153.0,12.730484707960693,CALDWELL,MISSOURI,2016
"Cass County, Missouri",037,101324.0,39.4,63613.0,29197.0,9330.0,9.208084955193241,CASS,MISSOURI,2016
"Clinton County, Missouri",049,20494.0,40.9,57486.0,26551.0,1887.0,9.207572948179955,CLINTON,MISSOURI,2016
"Dallas County, Missouri",059,16508.0,43.3,37695.0,17378.0,2970.0,17.99127695662709,DALLAS,MISSOURI,2016
"Hickory County, Missouri",085,9267.0,54.2,33113.0,18694.0,2295.0,24.76529621236646,HICKORY,MISSOURI,2016
"Lincoln County, Missouri",113,54286.0,36.7,55249.0,22833.0,7358.0,13.554139188741113,LINCOLN,MISSOURI,2016
"Monroe County, Missouri",137,8642.0,45.1,41201.0,21069.0,1333.0,15.424670215227957,MONROE,MISSOURI,2016
"Newton County, Missouri",145,58741.0,39.6,44474.0,23874.0,8294.0,14.119609812567031,NEWTON,MISSOURI,2016
"Pike County, Missouri",163,18475.0,38.9,42779.0,19900.0,2447.0,13.244925575101488,PIKE,MISSOURI,2016
"St. Charles County, Missouri",183,379856.0,37.7,75603.0,34021.0,22765.0,5.99306052820016,ST. CHARLES,MISSOURI,2016
"Cape Girardeau County, Missouri",031,78089.0,36.2,48458.0,25348.0,13236.0,16.949890509546798,CAPE GIRARDEAU,MISSOURI,2016
"Shelby County, Missouri",205,6148.0,42.1,41351.0,21521.0,928.0,15.09433962264151,SHELBY,MISSOURI,2016
"Webster County, Missouri",225,37075.0,37.6,44814.0,20424.0,6737.0,18.17127444369521,WEBSTER,MISSOURI,2016
"Atchison County, Missouri",005,5380.0,47.7,43438.0,26710.0,635.0,11.802973977695167,ATCHISON,MISSOURI,2016
"Bates County, Missouri",013,16513.0,41.2,41520.0,22250.0,2623.0,15.884454672076545,BATES,MISSOURI,2016
"Benton County, Missouri",015,18825.0,52.9,33428.0,19487.0,3581.0,19.02257636122178,BENTON,MISSOURI,2016
"Carter County, Missouri",035,6249.0,40.6,37162.0,21296.0,1275.0,20.40326452232357,CARTER,MISSOURI,2016
"Dade County, Missouri",057,7590.0,46.9,37904.0,20624.0,1520.0,20.02635046113307,DADE,MISSOURI,2016
"Linn County, Missouri",115,12319.0,42.8,39286.0,20860.0,2241.0,18.19141164055524,LINN,MISSOURI,2016
"Howell County, Missouri",091,40265.0,40.5,33964.0,19293.0,8980.0,22.30224760958649,HOWELL,MISSOURI,2016
"Johnson County, Missouri",101,54229.0,29.8,48977.0,22589.0,8426.0,15.537811871876672,JOHNSON,MISSOURI,2016
"Laclede County, Missouri",105,35505.0,40.1,40436.0,19552.0,6698.0,18.864948598788903,LACLEDE,MISSOURI,2016
"Maries County, Missouri",125,8987.0,43.9,40542.0,20922.0,1675.0,18.638032713920108,MARIES,MISSOURI,2016
"Phelps County, Missouri",161,44833.0,34.5,41603.0,22400.0,8620.0,19.22690875025093,PHELPS,MISSOURI,2016
"Platte County, Missouri",165,94970.0,38.1,70879.0,36160.0,6689.0,7.043276824260293,PLATTE,MISSOURI,2016
"St. Francois County, Missouri",187,66230.0,38.8,41461.0,20016.0,9955.0,15.030952740449948,ST. FRANCOIS,MISSOURI,2016
"St. Louis city, Missouri",510,316030.0,34.8,36809.0,25434.0,81916.0,25.920324019871533,"ST. LOUIS CITY, MISSOURI","ST. LOUIS CITY, MISSOURI",2016
"Andrew County, Missouri",003,17347.0,42.0,54804.0,26661.0,1568.0,9.039026921081454,ANDREW,MISSOURI,2016
"Butler County, Missouri",023,42887.0,40.2,36302.0,20042.0,9053.0,21.108960757339055,BUTLER,MISSOURI,2016
"Carroll County, Missouri",033,9009.0,42.8,41537.0,24484.0,1632.0,18.115218115218116,CARROLL,MISSOURI,2016
"Virginia Beach city, Virginia",810,449733.0,35.4,67719.0,33250.0,35924.0,7.987850569115453,"VIRGINIA BEACH CITY, VIRGINIA","VIRGINIA BEACH CITY, VIRGINIA",2016
"Alleghany County, Virginia",005,15919.0,48.0,45538.0,25220.0,2847.0,17.884289214146616,ALLEGHANY,VIRGINIA,2016
"Galax city, Virginia",640,6858.0,45.1,31110.0,20796.0,1642.0,23.94284047827355,"GALAX CITY, VIRGINIA","GALAX CITY, VIRGINIA",2016
"Westmoreland County, Virginia",193,17528.0,46.5,51566.0,29824.0,1940.0,11.068005476951164,WESTMORELAND,VIRGINIA,2016
"Northumberland County, Virginia",133,12272.0,55.5,54440.0,32238.0,1343.0,10.94361147327249,NORTHUMBERLAND,VIRGINIA,2016
"Pulaski County, Virginia",155,34417.0,45.6,49469.0,25738.0,4491.0,13.048784031147399,PULASKI,VIRGINIA,2016
"Warren County, Virginia",187,38807.0,40.8,63734.0,29179.0,3937.0,10.145076919112531,WARREN,VIRGINIA,2016
"Danville city, Virginia",590,42360.0,41.5,33721.0,21742.0,9135.0,21.56515580736544,"DANVILLE CITY, VIRGINIA","DANVILLE CITY, VIRGINIA",2016
"Fredericksburg city, Virginia",630,27853.0,29.5,53980.0,30480.0,4194.0,15.05762395433167,"FREDERICKSBURG CITY, VIRGINIA","FREDERICKSBURG CITY, VIRGINIA",2016
"Amherst County, Virginia",009,31999.0,43.9,47002.0,23372.0,4405.0,13.766055189224664,AMHERST,VIRGINIA,2016
"Bath County, Virginia",017,4558.0,47.2,44985.0,28210.0,373.0,8.183413777972795,BATH,VIRGINIA,2016
"Hopewell city, Virginia",670,22332.0,36.5,40814.0,21827.0,4509.0,20.190757657173563,"HOPEWELL CITY, VIRGINIA","HOPEWELL CITY, VIRGINIA",2016
"Newport News city, Virginia",700,181606.0,32.9,50089.0,25520.0,27776.0,15.294648855214035,"NEWPORT NEWS CITY, VIRGINIA","NEWPORT NEWS CITY, VIRGINIA",2016
"Frederick County, Virginia",069,82321.0,40.3,68929.0,31555.0,4800.0,5.8308329587833,FREDERICK,VIRGINIA,2016
"Lynchburg city, Virginia",680,78755.0,28.6,40728.0,22016.0,16598.0,21.075487270649482,"LYNCHBURG CITY, VIRGINIA","LYNCHBURG CITY, VIRGINIA",2016
"York County, Virginia",199,66919.0,39.5,83410.0,36722.0,4052.0,6.0550815164601985,YORK,VIRGINIA,2016
"Martinsville city, Virginia",690,13551.0,42.7,31719.0,22221.0,3159.0,23.311932698693823,"MARTINSVILLE CITY, VIRGINIA","MARTINSVILLE CITY, VIRGINIA",2016
"Nelson County, Virginia",125,14831.0,48.7,50994.0,29769.0,2125.0,14.328096554514193,NELSON,VIRGINIA,2016
"Pittsylvania County, Virginia",143,62392.0,46.0,43087.0,22650.0,9254.0,14.832029747403514,PITTSYLVANIA,VIRGINIA,2016
"Buena Vista city, Virginia",530,6610.0,35.1,29109.0,16405.0,1694.0,25.62783661119516,"BUENA VISTA CITY, VIRGINIA","BUENA VISTA CITY, VIRGINIA",2016
"Falls Church city, Virginia",610,13597.0,38.9,115244.0,66104.0,365.0,2.6844156799293963,"FALLS CHURCH CITY, VIRGINIA","FALLS CHURCH CITY, VIRGINIA",2016
"Petersburg city, Virginia",730,31997.0,38.8,32169.0,20464.0,9191.0,28.72456792824327,"PETERSBURG CITY, VIRGINIA","PETERSBURG CITY, VIRGINIA",2016
"Poquoson city, Virginia",735,12068.0,43.4,84643.0,39020.0,563.0,4.665230361286046,"POQUOSON CITY, VIRGINIA","POQUOSON CITY, VIRGINIA",2016
"Fairfax city, Virginia",600,23620.0,39.6,104065.0,45222.0,1415.0,5.990685859441151,"FAIRFAX CITY, VIRGINIA","FAIRFAX CITY, VIRGINIA",2016
"Waynesboro city, Virginia",820,21366.0,39.5,45097.0,22967.0,3351.0,15.683796686324067,"WAYNESBORO CITY, VIRGINIA","WAYNESBORO CITY, VIRGINIA",2016
"Roanoke city, Virginia",770,99329.0,38.1,39201.0,23611.0,21610.0,21.75598264353814,"ROANOKE CITY, VIRGINIA","ROANOKE CITY, VIRGINIA",2016
"Suffolk city, Virginia",800,87061.0,38.4,65435.0,30331.0,9914.0,11.387418017252271,"SUFFOLK CITY, VIRGINIA","SUFFOLK CITY, VIRGINIA",2016
"Norfolk city, Virginia",710,245724.0,30.2,45268.0,25450.0,46307.0,18.845127053116503,"NORFOLK CITY, VIRGINIA","NORFOLK CITY, VIRGINIA",2016
"Chesterfield County, Virginia",041,331839.0,38.6,73869.0,33848.0,24148.0,7.277022893632153,CHESTERFIELD,VIRGINIA,2016
"Fairfax County, Virginia",059,1132887.0,37.6,114329.0,51851.0,67306.0,5.941104452606482,FAIRFAX,VIRGINIA,2016
"Okanogan County, Washington",047,41299.0,43.0,41158.0,22544.0,8637.0,20.913339306036466,OKANOGAN,WASHINGTON,2016
"Kittitas County, Washington",037,42785.0,33.7,47898.0,25147.0,8402.0,19.637723501227065,KITTITAS,WASHINGTON,2016
"Benton County, Washington",005,187519.0,35.5,61147.0,29529.0,25797.0,13.757005956729719,BENTON,WASHINGTON,2016
"Clark County, Washington",011,450893.0,37.8,62879.0,30207.0,45773.0,10.151632427205568,CLARK,WASHINGTON,2016
"Asotin County, Washington",003,22113.0,44.6,45550.0,25760.0,3154.0,14.263103151992041,ASOTIN,WASHINGTON,2016
"Adams County, Washington",001,19100.0,28.6,47554.0,17781.0,4322.0,22.6282722513089,ADAMS,WASHINGTON,2016
"Garfield County, Washington",023,2231.0,47.7,51395.0,23313.0,250.0,11.205737337516808,GARFIELD,WASHINGTON,2016
"Mason County, Washington",045,61060.0,45.9,51764.0,25628.0,10136.0,16.60006550933508,MASON,WASHINGTON,2016
"Skagit County, Washington",057,120475.0,41.3,56433.0,28586.0,17805.0,14.778999792488069,SKAGIT,WASHINGTON,2016
"Stevens County, Washington",065,43744.0,46.4,44115.0,22745.0,7133.0,16.30623628383321,STEVENS,WASHINGTON,2016
"Spokane County, Washington",063,485859.0,37.3,50550.0,26860.0,73462.0,15.120024533866822,SPOKANE,WASHINGTON,2016
"Lincoln County, Washington",043,10326.0,48.7,47676.0,25382.0,1506.0,14.584543869843115,LINCOLN,WASHINGTON,2016
"Chelan County, Washington",007,74761.0,39.8,51845.0,26109.0,9318.0,12.46371771378125,CHELAN,WASHINGTON,2016
"Jefferson County, Washington",031,30333.0,56.2,50928.0,30871.0,3541.0,11.67375465664458,JEFFERSON,WASHINGTON,2016
"Kitsap County, Washington",035,257488.0,39.2,65017.0,32801.0,26110.0,10.140278381905176,KITSAP,WASHINGTON,2016
"King County, Washington",033,2079550.0,37.2,78800.0,43629.0,219317.0,10.546368204659663,KING,WASHINGTON,2016
"Pacific County, Washington",049,20743.0,52.2,38387.0,22187.0,3829.0,18.45923926143759,PACIFIC,WASHINGTON,2016
"Pend Oreille County, Washington",051,13001.0,49.8,46036.0,24163.0,2543.0,19.560033843550496,PEND OREILLE,WASHINGTON,2016
