year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,MISSOURI,MO,LINN,12668,43,39028,20968,13.24597411,Republican
2012,MISSOURI,MO,HOWELL,40330,39.6,34148,17763,20.3000248,Republican
2012,MISSOURI,MO,JOHNSON,52964,29.7,47960,21375,15.24620497,Republican
2012,MISSOURI,MO,LACLEDE,35507,39.1,39101,19788,18.24428986,Republican
2012,MISSOURI,MO,MARIES,9140,43.1,44885,21883,14.07002188,Republican
2012,MISSOURI,MO,PHELPS,44825,34,41388,20319,17.46793084,Republican
2012,MISSOURI,MO,PLATTE,89567,38.5,67419,35133,7.25490415,Republican
2012,MISSOURI,MO,ST. FRANCOIS,65246,38.7,36716,18893,16.06688533,Republican
2012,MISSOURI,MO,ANDREW,17205,41.9,57406,25821,7.265329846,Republican
2012,MISSOURI,MO,BUTLER,42792,40.6,34343,19775,19.97102262,Republican
2012,MISSOURI,MO,CARROLL,9279,41.8,44858,25174,12.8569889,Republican
2012,MISSOURI,MO,DAVIESS,8341,40.3,42617,20364,14.03908404,Republican
2012,MISSOURI,MO,HOLT,4840,46.1,42706,23943,14.17355372,Republican
2012,MISSOURI,MO,MARION,28703,39.3,42756,22168,14.65700449,Republican
2012,MISSOURI,MO,OSAGE,13857,39.2,51006,22253,9.792884463,Republican
2012,MISSOURI,MO,RIPLEY,14070,41.9,31431,15367,26.98649609,Republican
2012,MISSOURI,MO,WARREN,32440,39.7,47877,24581,14.20468557,Republican
2012,MISSOURI,MO,WASHINGTON,25120,40.1,34015,18010,22.60748408,Republican
2012,MISSOURI,MO,CHRISTIAN,77474,36.7,53549,24879,9.976250097,Republican
2012,MISSOURI,MO,DEKALB,12878,40.2,43898,16729,6.111197391,Republican
2012,MISSOURI,MO,HARRISON,8901,42.6,36909,19706,13.7512639,Republican
2012,MISSOURI,MO,LAFAYETTE,33278,40.3,51917,23679,9.820301701,Republican
2012,MISSOURI,MO,ADAIR,25542,29.1,33284,18331,21.4431133,Republican
2012,MISSOURI,MO,SCOTLAND,4843,39.4,40017,20305,18.21185216,Republican
2012,MISSOURI,MO,SULLIVAN,6667,40.2,34247,18348,17.27913604,Republican
2012,MISSOURI,MO,CLARK,7082,43.1,40466,19898,16.26659136,Republican
