STATE,Electoral Vote (D),Electoral Vote (R),Popular Vote (D),Popular Vote (R),Popular Vote All Others,Total Vote,Winner,Year
AL,,9,"849,624","1,441,170","32,488","2,323,282",Republican,2020
AK,,3,"153,778","189,951","15,801","359,530",Republican,2020
AZ,11,,"1,672,143","1,661,686","53,497","3,387,326",Democrat,2020
AR,,6,"423,932","760,647","34,490","1,219,069",Republican,2020
CA,55,,"11,110,639","6,006,518","384,223","17,501,380",Democrat,2020
CO,9,,"1,804,352","1,364,607","88,021","3,256,980",Democrat,2020
CT,7,,"1,080,831","714,717","28,309","1,823,857",Democrat,2020
DE,3,,"296,268","200,603","7,475","504,346",Democrat,2020
DC,3,,"317,323","18,586","8,447","344,356",Democrat,2020
FL,,29,"5,297,045","5,668,731","101,680","11,067,456",Republican,2020
GA,16,,"2,473,633","2,461,854","64,473","4,999,960",Democrat,2020
HI,4,,"366,130","196,864","11,475","574,469",Democrat,2020
ID,,4,"287,021","554,119","26,794","867,934",Republican,2020
IL,20,,"3,471,915","2,446,891","114,938","6,033,744",Democrat,2020
IN,,11,"1,242,498","1,729,857","60,855","3,033,210",Republican,2020
IA,,6,"759,061","897,672","34,138","1,690,871",Republican,2020
KS,,6,"570,323","771,406","32,257","1,373,986",Republican,2020
KY,,8,"772,474","1,326,646","37,648","2,136,768",Republican,2020
LA,,8,"856,034","1,255,776","36,252","2,148,062",Republican,2020
ME*,3,1,"435,072","360,737","23,652","819,461",Democrat,2020
MD,10,,"1,985,023","976,414","75,593","3,037,030",Democrat,2020
MA,11,,"2,382,202","1,167,202","81,998","3,631,402",Democrat,2020
MI,16,,"2,804,040","2,649,852","85,410","5,539,302",Democrat,2020
MN,10,,"1,717,077","1,484,065","76,029","3,277,171",Democrat,2020
MS,,6,"539,398","756,764","17,597","1,313,759",Republican,2020
MO,,10,"1,253,014","1,718,736","54,212","3,025,962",Republican,2020
MT,,3,"244,786","343,602","15,286","603,674",Republican,2020
NE*,1,4,"374,583","556,846","24,954","956,383",Republican,2020
NV,6,,"703,486","669,890","32,000","1,405,376",Democrat,2020
NH,4,,"424,937","365,660","15,608","806,205",Democrat,2020
NJ,14,,"2,608,400","1,883,313","57,744","4,549,457",Democrat,2020
NM,5,,"501,614","401,894","20,457","923,965",Democrat,2020
NY,29,,"5,244,886","3,251,997","119,978","8,616,861",Democrat,2020
NC,,15,"2,684,292","2,758,775","81,737","5,524,804",Republican,2020
ND,,3,"115,042","235,751","11,231","362,024",Republican,2020
OH,,18,"2,679,165","3,154,834","88,203","5,922,202",Republican,2020
OK,,7,"503,890","1,020,280","36,529","1,560,699",Republican,2020
OR,7,,"1,340,383","958,448","75,490","2,374,321",Democrat,2020
PA,20,,"3,458,229","3,377,674","101,073","6,936,976",Democrat,2020
RI,4,,"307,486","199,922","10,349","517,757",Democrat,2020
SC,,9,"1,091,541","1,385,103","36,685","2,513,329",Republican,2020
SD,,3,"150,471","261,043","11,095","422,609",Republican,2020
TN,,11,"1,143,711","1,852,475","57,665","3,053,851",Republican,2020
TX,,38,"5,259,126","5,890,347","165,583","11,315,056",Republican,2020
UT,,6,"560,282","865,140","62,867","1,488,289",Republican,2020
VT,3,,"242,820","112,704","11,904","367,428",Democrat,2020
VA,13,,"2,413,568","1,962,430","84,526","4,460,524",Democrat,2020
WA,12,,"2,369,612","1,584,651","133,368","4,087,631",Democrat,2020
WV,,5,"235,984","545,382","13,365","794,731",Republican,2020
WI,10,,"1,630,866","1,610,184","56,991","3,298,041",Democrat,2020
WY,,3,"73,491","193,559","9,715","276,765",Republican,2020
AL,9,,"1,318,255","729,547","75,570","2,123,372",Democrat,2016
AK,3,,"163,387","116,454","38,767","318,608",Democrat,2016
AZ,11,,"1,252,401","1,161,167","159,597","2,573,165",Democrat,2016
